,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,GAME_DATE_EST,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,HOME,OPP_RANK,PL_RATING,OPP_RATING
13,22200205,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,27:01,5.0,11.0,0.455,3.0,7.0,0.429,3.0,3.0,1.0,1.0,4.0,5.0,5.0,1.0,0.0,1.0,1.0,16.0,17.0,2022-11-14,Final,1610612744,1610612759,2022,1610612744,132.0,0.534,0.938,0.511,35.0,40.0,1610612759,95.0,0.36,0.684,0.25,18.0,53.0,1,1,0.412,35.2,109.8
14,22200197,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,36:51,9.0,17.0,0.529,3.0,9.0,0.333,6.0,6.0,1.0,0.0,6.0,6.0,4.0,1.0,0.0,4.0,0.0,27.0,0.0,2022-11-13,Final,1610612758,1610612744,2022,1610612758,122.0,0.516,0.632,0.432,31.0,45.0,1610612744,115.0,0.467,0.938,0.34,27.0,43.0,1,0,0.405,36.2,118.6
15,22200182,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,34:00,15.0,23.0,0.652,6.0,11.0,0.545,4.0,6.0,0.667,0.0,4.0,4.0,5.0,1.0,0.0,2.0,4.0,40.0,7.0,2022-11-11,Final,1610612744,1610612739,2022,1610612744,106.0,0.488,0.786,0.417,29.0,44.0,1610612739,101.0,0.402,0.731,0.267,25.0,46.0,1,1,0.556,34.4,115.4
16,22200156,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,37:43,17.0,24.0,0.708,7.0,12.0,0.583,6.0,7.0,0.857,0.0,8.0,8.0,8.0,0.0,0.0,0.0,2.0,47.0,20.0,2022-11-07,Final,1610612744,1610612758,2022,1610612744,116.0,0.5,0.667,0.368,28.0,48.0,1610612758,113.0,0.407,0.862,0.35,24.0,43.0,1,1,0.405,31.6,115.4
17,22200118,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,38:21,13.0,22.0,0.591,8.0,15.0,0.533,5.0,5.0,1.0,1.0,2.0,3.0,9.0,0.0,0.0,5.0,3.0,39.0,4.0,2022-11-03,Final,1610612753,1610612744,2022,1610612753,130.0,0.538,0.717,0.433,20.0,46.0,1610612744,129.0,0.515,0.667,0.442,31.0,35.0,1,0,0.194,28.0,104.0
18,22200104,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,34:29,7.0,14.0,0.5,4.0,10.0,0.4,5.0,5.0,1.0,4.0,9.0,13.0,13.0,1.0,0.0,5.0,3.0,23.0,3.0,2022-11-01,Final,1610612748,1610612744,2022,1610612748,116.0,0.455,1.0,0.381,32.0,39.0,1610612744,109.0,0.464,0.765,0.367,31.0,41.0,1,0,0.639,30.0,108.8
19,22200091,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,34:59,10.0,24.0,0.417,4.0,14.0,0.286,8.0,9.0,0.889,0.0,6.0,6.0,3.0,2.0,0.0,1.0,1.0,32.0,-12.0,2022-10-30,Final,1610612765,1610612744,2022,1610612765,128.0,0.482,0.895,0.424,24.0,47.0,1610612744,114.0,0.424,0.96,0.308,23.0,42.0,1,0,0.152,30.4,109.0
20,22200082,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,38:54,10.0,22.0,0.455,3.0,13.0,0.231,8.0,8.0,1.0,0.0,11.0,11.0,6.0,1.0,0.0,2.0,5.0,31.0,-6.0,2022-10-29,Final,1610612766,1610612744,2022,1610612766,120.0,0.422,0.774,0.323,32.0,55.0,1610612744,113.0,0.44,0.75,0.295,31.0,49.0,1,0,0.528,30.8,118.2
21,22200068,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,36:56,13.0,22.0,0.591,7.0,14.0,0.5,0.0,0.0,0.0,1.0,6.0,7.0,9.0,1.0,0.0,3.0,0.0,33.0,13.0,2022-10-27,Final,1610612744,1610612748,2022,1610612744,123.0,0.5,0.867,0.391,30.0,50.0,1610612748,110.0,0.443,0.818,0.326,25.0,31.0,1,1,0.639,27.0,106.6
22,22200055,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,29:55,7.0,17.0,0.412,4.0,9.0,0.444,3.0,5.0,0.6,0.0,7.0,7.0,8.0,1.0,0.0,1.0,1.0,21.0,-17.0,2022-10-25,Final,1610612756,1610612744,2022,1610612756,134.0,0.511,0.824,0.414,31.0,48.0,1610612744,105.0,0.451,0.765,0.286,28.0,40.0,1,0,0.771,,107.8
23,22200042,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,31:21,11.0,22.0,0.5,7.0,12.0,0.583,4.0,4.0,1.0,0.0,5.0,5.0,2.0,1.0,0.0,2.0,3.0,33.0,19.0,2022-10-23,Final,1610612744,1610612758,2022,1610612744,130.0,0.517,0.722,0.424,24.0,37.0,1610612758,125.0,0.47,0.8,0.256,31.0,51.0,1,1,0.405,,116.2
24,22200026,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,35:55,10.0,22.0,0.455,5.0,11.0,0.455,9.0,9.0,1.0,1.0,4.0,5.0,4.0,0.0,0.0,3.0,2.0,34.0,9.0,2022-10-21,Final,1610612744,1610612743,2022,1610612744,123.0,0.477,0.889,0.341,34.0,35.0,1610612743,128.0,0.535,0.84,0.441,30.0,41.0,0,1,0.515,,113.4
